well_id,query_len,self_prefix_ncc,shuffled_control_max_ncc,shuffled_control_mean_ncc,self_minus_control_max
000d7d20,480,0.44878245218402435,0.7105790937624922,0.538448683306183,-0.2617966415784678
00bbac68,512,0.354424952881617,0.417773688575611,0.33762581255929075,-0.06334873569399396
00e12e8b,512,0.6662162686711679,0.6763076378303996,0.5680520636648277,-0.0100913691592317
015fe0d2,512,0.49038768743619876,0.5774288667459591,0.45962338485661824,-0.0870411793097603
01869cd4,431,0.6028678187213593,0.7442893741915668,0.5717313013884907,-0.14142155547020752
01982c1d,512,0.41505330041931343,0.49502436978323094,0.42108288809500705,-0.07997106936391751
028d7b28,509,0.36184595927991803,0.49126309668149104,0.36785640356627053,-0.129417137401573
02e7fe5a,512,0.2970663611684632,0.3713742616337978,0.28053860609898806,-0.07430790046533459
0390d174,512,0.5637675232378501,0.5771133981469703,0.5171327590635536,-0.013345874909120203
03a935ae,512,0.37667720907913527,0.6243582700287804,0.43453343039629644,-0.24768106094964515
044af7d1,512,0.5546122486549809,0.6286459544626549,0.5543269217441892,-0.07403370580767399
0498acab,512,0.3534286311897731,0.7053241503437268,0.5018315414846056,-0.3518955191539537
052d64df,512,0.36314086504354975,0.5657560919344489,0.4362125557254941,-0.2026152268908991
05948241,512,0.39569349804733633,0.5285613046428898,0.44490875557301185,-0.13286780659555342
059c8f24,512,0.22708592514853104,0.6496502037014791,0.44048539373896883,-0.42256427855294804
05a0ee4d,512,0.3195472743323934,0.46864608422306686,0.3734166661722426,-0.14909880989067348
060ab2b8,512,0.17020059980929764,0.48959917600962105,0.3297566598230008,-0.3193985762003234
06df5958,510,0.34325012914126357,0.5539206814014748,0.4427109444514836,-0.2106705522602112
071d7b45,503,0.4730705171984898,0.5666852482525744,0.44610311528382063,-0.09361473105408458
0849b4e2,512,0.2741321356830426,0.706670126655541,0.5225768593546528,-0.43253799097249834
084d66f9,512,0.681338843302173,0.8077262183223888,0.631407970837024,-0.1263873750202158
08fecf00,512,0.5312973703200635,0.5286724218032779,0.4538977303762535,0.00262494851678563
09053135,512,0.5914801235544003,0.7105638233535617,0.5905601871047557,-0.11908369979916145
09441b8d,512,0.5271761791597,0.6204019762988856,0.4812918955952235,-0.09322579713918555
0955cd6c,512,0.4409564236728898,0.6436481702587684,0.4182780642487412,-0.20269174658587863
09ec2ca9,512,0.2104035633872394,0.291820735512671,0.2216623844371349,-0.08141717212543162
0a57a29c,457,0.3856484216564284,0.7699940078265131,0.5930665489757372,-0.3843455861700847
0bbf5e67,512,0.46174843603745475,0.4611618235293505,0.39014122613642144,0.0005866125081042672
0be01c24,512,0.6353824799365834,0.775970772632562,0.6187584397663597,-0.1405882926959786
0c1b160c,512,0.28412487588822144,0.5390826423342054,0.41879082039406906,-0.254957766445984
0d99f8e4,512,0.37128871015898357,0.4644395492559662,0.40280142359418486,-0.09315083909698263
0dc5e64d,437,-0.05017495071167905,0.4641006251602752,0.3549013409707969,-0.5142755758719543
0dc835f3,283,0.5325810700552794,0.6389752002139445,0.5116254516472981,-0.10639413015866506
0dd99dc5,512,0.5055853879718586,0.49829356217540155,0.37239356433855414,0.007291825796457041
0e5e560d,512,0.2239568729869693,0.47257330821438787,0.3707405999521734,-0.24861643522741855
109d9d70,512,0.36268425712890884,0.455855720436378,0.3799862993617226,-0.09317146330746917
10a1281a,512,0.4175910542596092,0.5260364158904609,0.4021286816853062,-0.10844536163085172
10b89021,512,0.4569825329652716,0.5589651320341253,0.42978560684635686,-0.10198259906885376
10be2420,512,0.3836088775322969,0.5513214188612636,0.44215156050882176,-0.16771254132896674
113011eb,429,0.3879176386595925,0.4996660551888595,0.4075300057363099,-0.11174841652926698
1131525f,463,0.1773848078158569,0.528082805073249,0.4335253809453236,-0.35069799725739215
11d0f5ac,498,0.39105407706887535,0.626639742303892,0.390456809774991,-0.23558566523501662
12203f2a,512,0.3703043539385521,0.4847637160336803,0.3916530618326816,-0.11445936209512819
122bd617,512,0.2936071082129807,0.5592702625994531,0.4442156065771307,-0.2656631543864724
125be846,507,0.4153495743060463,0.5352280320245358,0.4356381652557533,-0.11987845771848954
1285a37b,512,0.4475161232563223,0.6445283918846514,0.5644679189617403,-0.1970122686283291
1295a25b,495,0.38195955557120626,0.4525662391411892,0.38307824683138286,-0.07060668356998295
12f0cd90,494,0.3838755921132543,0.5105147675083956,0.3298545352895285,-0.12663917539514136
137d1e44,512,0.5572619740461539,0.712367444677558,0.40844421208863707,-0.15510547063140412
13ce113d,512,0.40838159873610835,0.7494374818015207,0.5290318425787968,-0.34105588306541235
13f598d9,512,0.4900767850147597,0.6052205539367629,0.5280790636677919,-0.11514376892200318
14a53cb3,512,0.47847536413182945,0.7285572715549473,0.513500383887478,-0.25008190742311787
14ab73fb,512,0.3461959388522541,0.8301494696568982,0.6003262566428995,-0.4839535308046441
14ad5efb,503,0.2586301562834504,0.3605355443491572,0.29177330803021684,-0.10190538806570681
14fee784,498,0.3043087641184752,0.6015968745056373,0.44913776235101815,-0.2972881103871621
153552f5,512,0.19944114575234534,0.5688108516818533,0.4312737222889658,-0.36936970592950796
1550491d,455,0.06714596765067293,0.5273817813740428,0.41001612045699165,-0.46023581372336986
155887bb,492,0.25672451441069266,0.4503084917493407,0.29985520046227054,-0.19358397733864802
1590af81,477,0.21661757185733696,0.509299131717056,0.3898462861446261,-0.292681559859719
15e154a1,512,0.08355696395297449,0.5491519831835799,0.4037429801893265,-0.4655950192306054
1619e2ca,512,0.2799181704802155,0.5845769173066455,0.437608094917804,-0.30465874682643
16e4a047,512,0.15600195797726601,0.3409922264694912,0.2873232720567552,-0.18499026849222516
173ed841,512,0.3577648283764113,0.6226520741981973,0.5217098572535387,-0.264887245821786
1770d7c6,512,0.5848064624458418,0.6743307134160474,0.46240981982405155,-0.08952425097020567
177622d7,512,0.3841145430947764,0.6988827567046958,0.49027630092349056,-0.3147682136099194
18d24f7b,512,0.4030831170604541,0.5343256271049455,0.38402071830594103,-0.1312425100444914
19137a89,512,0.3423831689677328,0.48109058665604876,0.35858486318890387,-0.13870741768831596
1944513c,512,0.37790062641173916,0.5342701376158161,0.4713847350164622,-0.15636951120407694
197f8a5a,512,0.27416081539069903,0.48360572179818695,0.363687347203683,-0.20944490640748792
19871e7f,512,0.26991384694389275,0.47701139891128985,0.31595422983701926,-0.2070975519673971
198a5607,512,0.4471043138699191,0.5934424821275825,0.4658707529414472,-0.14633816825766344
19fb4f7b,512,0.6210519968116404,0.5543238924724522,0.46641872965156345,0.06672810433918819
1a518997,512,0.3566528927195552,0.47433172835415205,0.36458711974111285,-0.11767883563459686
1a68190b,512,0.5047201812514687,0.586579892547435,0.45761248056342363,-0.08185971129596636
1a730ac2,481,0.3042266213196687,0.7170013633470164,0.5766843922049146,-0.41277474202734765
1aaf1da0,505,0.4034151909884263,0.5217246076343782,0.4189213186120766,-0.1183094166459519
1b08ed48,512,0.360785619508614,0.577814517336704,0.3887293365143427,-0.21702889782808998
1b1c5372,510,0.1488000334605468,0.6917528087181365,0.5522064256351277,-0.5429527752575897
1b1eba53,512,0.3680478127340946,0.5482719337372441,0.4730200317043834,-0.18022412100314955
1b6ba517,512,0.5376732291916773,0.644247809353083,0.5001257791160714,-0.10657458016140575
1b82b665,512,0.33737305945979146,0.4991887278893029,0.42523319374861485,-0.16181566842951145
1bcb2fcf,512,0.48426959256926544,0.5182892638815153,0.4166060432913817,-0.034019671312249866
1beca81d,512,0.5100603181047692,0.5914164719500106,0.46638573298034786,-0.08135615384524142
1d3fbf02,512,0.27883956423122147,0.43767361507091374,0.3302992214980685,-0.15883405083969226
1d78281a,512,0.4414619591221434,0.6249151410456597,0.49764915315394226,-0.18345318192351628
1e30dedf,467,0.19524165061721707,0.5429271462499706,0.4308422809336094,-0.3476854956327535
1e5e3573,512,0.3654953572512576,0.6619519667211881,0.4630607839838177,-0.29645660946993047
1f9afacb,512,0.1781748590710295,0.44713131510428844,0.3180980861540788,-0.2689564560332589
1fdbba44,474,0.5595724932175786,0.6942993666803773,0.5963131155687159,-0.13472687346279866
1fee2b62,512,0.5745705558150856,0.5850537216815107,0.5023402518305881,-0.01048316586642506
20096916,512,0.2612256133565438,0.43163641561728355,0.32612430789657204,-0.17041080226073974
200d233d,512,0.2268445984429012,0.37261641233156795,0.3198998949332498,-0.14577181388866675
201661b5,512,0.49494480375487465,0.7244216836157551,0.518580862435162,-0.22947687986088044
203721ab,501,0.2723232136024093,0.7135031154233713,0.5081457091836973,-0.441179901820962
20402d71,512,0.4618510056513454,0.660261298981849,0.5144135462174574,-0.19841029333050364
2043abc5,512,0.42400850115549127,0.6741014488808066,0.4743255734681833,-0.2500929477253153
204cc64b,512,0.5271430396596315,0.7879503127329406,0.5648431151579455,-0.2608072730733091
206b6193,512,0.3895460423222106,0.5205849382314124,0.3953532216491815,-0.1310388959092018
2075c696,512,0.30867955178562023,0.41757317667286825,0.2766082560726849,-0.10889362488724802
22c5f93f,512,0.4145352399485284,0.5884507550902827,0.4669493757099989,-0.17391551514175424
230eaaa3,512,0.2677725798439855,0.495295640561575,0.33072789659202734,-0.2275230607175895
2364716c,512,0.2811200930561218,0.6186472440341066,0.4615478362244147,-0.33752715097798486
23b9beb0,483,0.15764634652506174,0.30157270436608496,0.22447465897383356,-0.14392635784102323
24d8997e,512,0.3668098806443989,0.7461697829744586,0.454797231756434,-0.3793599023300597
25050f63,343,0.3901474194790447,0.5475872529338439,0.46586215395018477,-0.15743983345479923
25939962,512,0.3528077036684377,0.49149567435923347,0.40055286398173867,-0.13868797069079575
25fd32b3,512,0.4496117457160047,0.5803434552478131,0.47875742878679795,-0.13073170953180835
261785ee,512,0.41895677610477733,0.7247391656301466,0.495777730602748,-0.3057823895253693
264feceb,512,0.5686645775548433,0.665395839349276,0.548057981184964,-0.0967312617944327
26623a50,512,0.28614047094626016,0.6713535004056165,0.45811787185566605,-0.3852130294593563
26d3a96a,512,0.44207359755349585,0.8271523757193384,0.583673472457425,-0.3850787781658426
272abef3,512,0.5855937892147154,0.7290868527260157,0.6361026881864055,-0.1434930635113003
27300fd5,512,0.30655672434632747,0.36191781513019455,0.2685493303767322,-0.055361090783867084
276b012a,484,0.41001850737177065,0.5218616158347653,0.41102312520859147,-0.11184310846299467
27c3155b,512,0.3173965936044931,0.5501111776051174,0.4268653987546653,-0.23271458400062428
27ebb9b9,512,0.35951852465652573,0.5989973337633965,0.4082171080336275,-0.23947880910687075
283269ac,512,0.3620003317048004,0.4546911596146993,0.39503119924445224,-0.09269082790989891
28473855,512,0.2167272096863716,0.3955761883366631,0.2810919446262297,-0.17884897865029148
28f4eda9,512,0.43796833639424604,0.4996302317802065,0.40135284479042416,-0.06166189538596045
29b24409,512,0.3465255417946359,0.5389869381856507,0.3927945237535342,-0.19246139639101478
29de15c8,512,0.39062228386055264,0.4990827207429604,0.3828751847487352,-0.10846043688240775
2ab29395,491,0.4285577512834623,0.5500621961106218,0.41649917133221065,-0.1215044448271595
2ac7cb6b,487,0.3582138743417449,0.5323188275096533,0.38700228229464484,-0.17410495316790842
2acc78d4,512,0.3542395999831511,0.5980138302299493,0.41166628174472725,-0.24377423024679817
2b034622,512,0.20397124055780075,0.4983235184965805,0.39173376138723776,-0.29435227793877977
2b06ad65,483,0.5538763981441228,0.877638607167693,0.6241236728396732,-0.3237622090235702
2b547943,512,0.32285235293826314,0.48626623600205593,0.38379832044417306,-0.1634138830637928
2be5c96a,512,0.27394910056803345,0.7212475802946668,0.5726404034703351,-0.4472984797266334
2bff06cf,512,0.3493516350959802,0.4164385073710067,0.377935322573522,-0.06708687227502647
2c0c4a4e,512,0.17959174492839097,0.3666846472846783,0.2901028502332564,-0.18709290235628734
2cee0cba,512,0.3464648787514474,0.4901346784034212,0.4086130363170723,-0.1436697996519738
2d0c268a,512,0.6157913343193573,0.7027106617898572,0.5192001151656506,-0.08691932747049991
2d179ded,512,0.5768304418842609,0.5948097911011128,0.4226724889327724,-0.017979349216851848
2d196986,512,0.19671972829769133,0.5346265894135063,0.4326893209095049,-0.3379068611158149
2d2d0c6b,512,0.6068556675707115,0.6871942369255986,0.474400063019403,-0.08033856935488703
2d35f86d,512,0.3797634800396142,0.5822614841157185,0.4740782153833106,-0.20249800407610435
2d9f6cb9,429,0.46404739119283195,0.7206350297860583,0.5480153650706904,-0.25658763859322636
2ddad940,493,0.2524173710715653,0.3177187796069664,0.25738932752784954,-0.06530140853540106
2e29e833,512,0.28734986755037706,0.6630081102383487,0.5363224957669365,-0.37565824268797166
2e43c2ea,512,0.49575794395751915,0.6968452314682282,0.5568304414696915,-0.20108728751070903
2e63d9de,512,0.30399330801356417,0.5110992130453453,0.3408736142535596,-0.20710590503178117
2ee0235b,512,0.20879682879791994,0.3042881007619202,0.2138168601868595,-0.09549127196400026
2f19d536,512,0.27001025271209933,0.5124545366908135,0.3687175424460361,-0.2424442839787142
2f8e53c3,512,0.3116050612482565,0.6260519393615162,0.4857810679435099,-0.31444687811325966
2fa01aa6,512,0.4810948945491377,0.5666146331571194,0.4558383427163488,-0.08551973860798168
2fd68f7b,512,0.34538305534859504,0.5425944884289505,0.41715716353648724,-0.1972114330803555
2fe023be,512,0.47714794881991013,0.5614590289471155,0.4781558737760625,-0.0843110801272054
30d75030,512,0.36649139729793206,0.49875091934896515,0.4259438707270696,-0.13225952205103308
310c71a5,512,0.18187552906263796,0.4759060483518577,0.3701240857882135,-0.29403051928921975
32fe84c9,512,0.25620396660600764,0.4146516855488942,0.33021635824421997,-0.15844771894288656
33c40295,512,0.674636503516556,0.7421565833613768,0.5965078756102807,-0.06752007984482078
3407f5bf,512,0.3026668967822831,0.7212435629918001,0.42737257807388834,-0.41857666620951706
3417285d,512,0.3806505198471687,0.49088672832152874,0.409742620150601,-0.11023620847436005
347242c8,512,0.33548507172296393,0.48656996158128857,0.3980496482661158,-0.15108488985832463
353e5502,512,0.6310913477792632,0.7057139299738452,0.547188789203097,-0.07462258219458195
