well_id,nearest_well,nearest_xy_distance_ft,nn5_xy_distance_ft,nn10_xy_distance_ft
000d7d20,ff0aea78,286.35012432341506,5400.564125070756,7195.7169295352
00bbac68,155887bb,894.9977029019811,3611.3970898391776,5488.819645442585
00e12e8b,42669188,415.90193904323473,5233.091732207728,9211.364797954748
015fe0d2,8b9d8326,1024.9654780529668,5534.837360031406,6899.3257847560635
01869cd4,1295a25b,1221.7383720337334,2416.0870294340357,7491.23618733903
01982c1d,89969c7a,989.7280447172292,2301.423836084982,3434.1858944006653
028d7b28,d7ba4f9d,183.81673726823755,3470.969296896728,4255.089823188248
02e7fe5a,7993a768,499.577358173751,3923.797926117173,6627.426364615668
0390d174,1b82b665,535.4658855610782,1698.2195022137864,3384.449060305134
03a935ae,d7eb0be8,1391.4420092118592,5801.543768687567,6366.83712288114
044af7d1,7e208414,975.5498979547596,1970.9090817433992,2558.8759585805624
0498acab,1a730ac2,1299.2180773450525,3531.7252191670773,5072.330764066838
052d64df,283269ac,488.6614830328947,4643.383437645541,5981.641114025584
05948241,74b6186b,580.5299663238883,3148.632145932748,5316.870115039316
059c8f24,543198e8,13124.275654774017,13472.949151900426,16642.21791595072
05a0ee4d,939d9c34,940.9873577259472,3702.272497277864,5525.5065514213875
060ab2b8,fb3848a1,520.6750182214088,1477.1167455890127,2148.784945032983
06df5958,be83e781,465.5454319399353,1709.6394680752423,2280.6530420912254
071d7b45,e3b34f5b,4502.632505213223,6642.663777130258,8229.685779202404
0849b4e2,69e41fa6,318.3088281840483,2727.4466521638738,4848.742324613607
084d66f9,fef8af96,882.5499177384439,2279.166409369849,2962.585516419711
08fecf00,69e41fa6,264.647157740475,2317.667762428317,4579.642562689863
09053135,5397ceb1,783.0184716211629,2388.7875800288675,3522.6711706458605
09441b8d,7c607683,422.98319139185577,1380.2741241144176,2095.3465718108982
0955cd6c,1e5e3573,423.5689078533346,1875.8179792825317,5296.252900164271
09ec2ca9,d1ecf309,693.5977377414837,2419.8956933927097,5694.451631000084
0a57a29c,4caa7289,368.0496152697169,2141.6508096794096,3014.3042350930655
0bbf5e67,5eae34a8,925.3623822588972,4514.2027036455565,7478.955420538382
0be01c24,593876b6,227.0427316606714,1916.424432869603,2359.4730992531313
0c1b160c,a612d5a0,936.8875612899209,2153.449793656712,5800.482645168529
0d99f8e4,2cee0cba,467.7877344482684,4383.183938827997,7992.444150101977
0dc5e64d,e7818f7a,515.416979541718,5332.6935870721145,6105.4614289258325
0dc835f3,fae0c593,255.6101695946187,1730.1116414843607,2571.8583689230427
0dd99dc5,13f598d9,222.91910999312654,1457.3876871990053,1989.5757523904851
0e5e560d,4121c517,2155.0943098853086,2691.0517979779515,6255.291110284308
109d9d70,e5c92e59,305.81890147636824,3175.0507321460295,5733.836180682546
10a1281a,b32e4903,375.7711401904237,1827.5547263489407,2158.065766491094
10b89021,3417285d,184.5267072815087,3424.165627842637,5000.681585164358
10be2420,8b5be31b,361.7195500660817,2449.402008858247,5023.621271801552
113011eb,c70c0e01,600.9463154062939,2872.9237377970794,5155.869851392922
1131525f,ebe69318,982.9869502693208,1828.3018640257744,2280.6530420912254
11d0f5ac,9d5e14d4,762.1837788880036,2932.1343582445857,4381.826104308596
12203f2a,e2fc7745,376.99435539557396,2393.528078318878,2783.048012413519
122bd617,05948241,765.9665332114466,2976.0032355493368,5375.316250807663
125be846,516088b7,361.4846338366731,1510.5718698889832,4973.025720072271
1285a37b,27300fd5,296.39815923844986,5799.485165641732,6787.423515885894
1295a25b,f8662c22,705.4714077835548,2713.2547074685376,7384.989684447807
